Country,Source,Year,Stillbirths,Singletons,Twin_deliveries,Twin_children,Triplet_deliveries,Triplet_children,Quadruplet_plus_deliveries,Quadruplet_plus_children,Multiple_deliveries,Multiple_children,Total_deliveries,Total_children,Twinning_rate,Multiple_rate,Footnotes,Flag
England_and_Wales,ONS,1997,1,NA,NA,NA,NA,NA,NA,NA,9217,NA,637001,646534,NA,14.5,NA,
England_and_Wales,ONS,1998,1,620846,8776,NA,297,NA,7,28,9080,NA,629926,639318,NA,14.4,4,
England_and_Wales,ONS,1999,1,607087,8636,NA,267,NA,4,16,8907,NA,615994,625177,NA,14.5,4,
England_and_Wales,ONS,2000,1,589788,8526,NA,262,NA,4,16,8792,NA,598580,607644,NA,14.7,4,
England_and_Wales,ONS,2001,1,580168,8484,NA,211,NA,5,22,8700,NA,588868,597793,NA,14.8,4; 5,
England_and_Wales,ONS,2002,1,581592,8685,NA,172,NA,4,16,8861,NA,590453,599494,NA,15,4,
England_and_Wales,ONS,2003,1,606656,9001,NA,127,NA,3,12,9131,NA,615787,625081,NA,14.8,4; 6,
England_and_Wales,ONS,2004,1,624207,9368,NA,148,NA,5,20,9521,NA,633728,643407,NA,15,4,
England_and_Wales,ONS,2005,1,630084,9396,NA,146,NA,1,4,9543,NA,639627,649318,NA,14.9,4,
England_and_Wales,ONS,2006,1,652778,9992,NA,138,NA,7,28,10137,NA,662915,673203,NA,15.3,4,
England_and_Wales,ONS,2007,1,672528,10334,NA,135,NA,2,9,10471,NA,682999,693611,NA,15.3,4,
England_and_Wales,ONS,2008,1,690442,10680,NA,174,NA,1,4,10855,NA,701297,712328,NA,15.5,4,
England_and_Wales,ONS,2009,1,686870,11301,NA,148,NA,5,NA,11454,NA,698324,709936,NA,16.4,4,
England_and_Wales,ONS,2010,1,704239,11053,NA,169,NA,6,NA,11228,NA,715467,726879,NA,15.7,4,
England_and_Wales,ONS,2011,1,704535,11330,NA,172,NA,3,NA,11505,NA,716040,727724,NA,16.1,4,
England_and_Wales,ONS,2012,1,710133,11228,NA,208,NA,5,NA,11441,NA,721574,733232,NA,15.9,4,
England_and_Wales,ONS,2013,1,680037,10593,NA,187,NA,3,NA,10783,NA,690820,701796,NA,15.6,4,
England_and_Wales,ONS,2014,1,676357,10839,NA,148,NA,2,NA,10989,NA,687346,698487,NA,16,4,
England_and_Wales,ONS,2015,1,678678,10901,NA,169,NA,3,NA,11073,NA,689751,700999,NA,16.1,4,
England_and_Wales,ONS,2016,1,677311,10786,NA,160,NA,5,NA,10951,NA,688262,699383,NA,15.9,4,
England_and_Wales,ONS,2017,1,660573,10462,NA,154,NA,5,NA,10621,NA,671194,681979,NA,15.8,4,
England_and_Wales,ONS,2018,1,639619,9873,NA,128,NA,4,NA,10005,NA,649626,659765,NA,15.4,4; 7,
England_and_Wales,ONS,2019,1,623430,9513,NA,137,NA,6,NA,9656,NA,633086,642892,NA,15.3,4,
England_and_Wales,ONS,2020,1,598743,8614,NA,112,NA,0,NA,8726,NA,607469,616307,NA,14.4,4; 8,
United States,VSUS,1915,2,761150,7673,NA,64,NA,0,NA,7737,NA,768887,776304,NA,10.1,1,
United States,VSUS,1916,2,802892,8139,NA,86,NA,2,NA,8227,NA,811119,818983,NA,10.1,1,
United States,VSUS,1917,2,1325426,14394,NA,155,NA,0,NA,14549,NA,1339975,1353792,NA,10.9,1,
United States,VSUS,1918,2,1333526,15342,NA,147,NA,0,NA,15489,NA,1349015,1363649,NA,11.5,1,
United States,VSUS,1919,2,1341234,16316,NA,186,NA,1,NA,16503,NA,1357737,1373438,NA,12.2,1,
United States,VSUS,1920,2,1475113,17229,NA,184,NA,6,NA,17419,NA,1492532,1508874,NA,11.7,1,
United States,VSUS,1921,2,1674875,20021,NA,230,NA,1,NA,20252,NA,1695127,1714261,NA,11.9,1,
United States,VSUS,1922,2,1735074,20284,NA,199,NA,4,NA,20487,NA,1755561,1774911,NA,11.7,1,
United States,VSUS,1923,2,1752331,20594,NA,179,NA,2,NA,20775,NA,1773106,1792646,NA,11.7,1,
United States,VSUS,1924,2,1887776,21864,NA,226,NA,3,NA,22093,NA,1909869,1930614,NA,11.6,1,
United States,VSUS,1925,2,1838296,20645,NA,230,NA,3,NA,20878,NA,1859174,1878880,NA,11.2,1,
United States,VSUS,1926,2,1815108,20885,NA,192,NA,3,NA,21080,NA,1836188,1856068,NA,11.5,1,
United States,VSUS,1927,2,2089508,24658,NA,233,NA,6,NA,24897,NA,2114405,2137836,NA,11.8,1,
United States,VSUS,1928,2,2182879,25619,NA,285,NA,1,NA,25905,NA,2208784,2233149,NA,11.7,1,
United States,VSUS,1929,2,2120415,25358,NA,240,NA,3,NA,25601,NA,2146016,2169920,NA,11.9,1,
United States,VSUS,1930,2,2155094,24963,NA,249,NA,6,NA,25218,NA,2180312,2203958,NA,11.6,1,
United States,VSUS,1931,2,2065803,24049,NA,232,NA,2,NA,24283,46957,2090086,2112760,NA,11.6,1,
United States,VSUS,1931,1,NA,25083,50166,253,759,2,8,NA,NA,NA,2193376,NA,NA,1; 2,
United States,VSUS,1932,2,2027134,24020,NA,236,NA,6,NA,24262,46908,2051396,2074042,NA,11.8,1,
United States,VSUS,1932,1,NA,25089,50178,254,762,6,24,NA,NA,NA,2152393,NA,NA,1; 2,
United States,VSUS,1933,2,2034466,23995,NA,220,NA,5,NA,24220,46766,2058686,2081232,NA,11.8,1,
United States,VSUS,1933,1,NA,24999,49998,234,702,5,20,NA,NA,NA,2158291,NA,NA,1; 2,
United States,VSUS,1934,2,2118997,24866,NA,242,NA,6,NA,25114,48639,2144111,2167636,NA,11.7,1,
United States,VSUS,1934,1,NA,26012,52024,266,798,6,24,NA,NA,NA,2246139,NA,NA,1; 2,
United States,VSUS,1935,2,2107903,24167,NA,232,NA,0,NA,24399,47202,2132302,2155105,NA,11.4,1,
United States,VSUS,1935,1,NA,25218,50436,246,738,0,0,NA,NA,NA,2232224,NA,NA,1; 2,
United States,VSUS,1936,2,2096667,24569,NA,277,NA,6,NA,24852,48123,2121519,2144790,NA,11.7,1,
United States,VSUS,1936,1,NA,25583,51166,297,891,7,28,NA,NA,NA,2218525,NA,NA,1; 2,
United States,VSUS,1937,2,2154719,24881,NA,219,NA,4,NA,25104,NA,2179823,2203337,NA,11.5,1,
United States,VSUS,1937,1,NA,25908,NA,237,NA,4,NA,NA,NA,NA,2276946,NA,NA,1; 2,
United States,VSUS,1938,2,2236863,25644,NA,262,NA,1,NA,25907,NA,2262770,2286962,NA,11.4,1,
United States,VSUS,1938,1,NA,26749,NA,280,NA,2,NA,NA,NA,NA,2360429,NA,NA,1; 2,
United States,VSUS,1939,2,2216857,24908,NA,274,NA,2,NA,25184,NA,2242041,2266588,NA,11.2,1,
United States,VSUS,1939,1,NA,25913,NA,292,NA,2,NA,NA,NA,NA,2338186,NA,NA,1; 2,
United States,VSUS,1940,2,2311378,24976,NA,247,NA,3,NA,25226,NA,2336604,2360399,NA,10.8,1,
United States,VSUS,1940,1,NA,26036,NA,263,NA,3,NA,NA,NA,NA,2434201,NA,NA,1; 2,
United States,VSUS,1941,2,2461311,26443,NA,256,NA,12,NA,26711,NA,2488022,2513427,NA,10.7,1,
United States,VSUS,1941,1,NA,27439,NA,270,NA,12,NA,NA,NA,NA,2588560,NA,NA,1; 2,
United States,VSUS,1942,2,2751568,29139,NA,277,NA,5,NA,29421,NA,2780989,2808996,NA,10.6,1,
United States,VSUS,1942,1,NA,30156,NA,291,NA,5,NA,NA,NA,NA,2888170,NA,NA,1; 2,
United States,VSUS,1943,2,2876669,29470,NA,316,NA,1,NA,29787,NA,2906456,2934860,NA,10.2,1,
United States,VSUS,1943,1,NA,30459,NA,325,NA,1,NA,NA,NA,NA,3013345,NA,NA,1; 2,
United States,VSUS,1944,2,2738438,28591,NA,286,NA,8,NA,28885,56362,2767323,2794800,NA,10.4,1,
United States,VSUS,1944,1,NA,29625,NA,294,NA,8,NA,NA,NA,NA,2870295,NA,NA,1; 2,
United States,VSUS,1945,2,2678712,28604,NA,257,NA,1,5,28862,56744,2707574,2735456,NA,10.7,1,
United States,VSUS,1945,1,NA,29456,NA,268,NA,1,5,NA,NA,NA,2800969,NA,NA,1; 2,
United States,VSUS,1946,2,3216000,36782,NA,327,NA,5,NA,37114,72672,3253114,3288672,NA,11.4,1,
United States,VSUS,1946,1,NA,37916,NA,343,NA,5,NA,NA,NA,NA,3363521,NA,NA,1; 2,
United States,VSUS,1947,2,3624181,38286,NA,340,NA,4,NA,38630,NA,3662811,3699940,NA,10.5,1; 3,
United States,VSUS,1947,1,NA,39335,NA,354,NA,4,NA,NA,NA,NA,3777857,NA,NA,1; 2; 3,
United States,VSUS,1948,2,3463320,36246,NA,336,NA,4,17,36586,NA,3499906,3535068,NA,10.5,1; 3,
United States,VSUS,1948,1,NA,37384,NA,354,NA,4,17,NA,NA,NA,3607906,NA,NA,1; 2; 3,
United States,VSUS,1949,2,3487548,36479,NA,337,NA,3,NA,36819,NA,3524367,3559529,NA,10.4,1; 3,
United States,VSUS,1949,1,NA,37505,NA,352,NA,3,NA,NA,NA,NA,3630113,NA,NA,1; 2; 3,
United States,VSUS,1950,2,3479639,37759,NA,352,NA,5,NA,38116,NA,3517755,3554149,NA,10.8,1; 3,
United States,VSUS,1950,1,NA,38748,NA,363,NA,5,NA,NA,NA,NA,3622411,NA,NA,1; 2; 3,
United States,VSUS,1951,2,3673160,38256,NA,313,NA,7,NA,38576,77690,3713180,3750850,NA,10.4,1; 3; 4; 5,
United States,VSUS,1951,1,NA,39213,NA,324,NA,7,NA,NA,NA,NA,3821419,NA,NA,1; 2; 3; 4,
United States,VSUS,1952,2,3767450,40154,NA,371,NA,4,NA,40529,NA,3807979,3846986,NA,10.6,1; 3; 4,
United States,VSUS,1952,1,NA,41128,NA,382,NA,4,NA,NA,NA,NA,3917433,NA,NA,1; 2; 3; 4,
United States,VSUS,1953,2,3820063,41520,NA,359,NA,4,NA,41883,NA,3861946,3902120,NA,10.8,1; 3; 4,
United States,VSUS,1953,1,NA,42573,NA,373,NA,4,NA,NA,NA,NA,3971513,NA,NA,1; 2; 3; 4,
United States,VSUS,1954,2,3933484,42240,NA,398,NA,3,NA,42641,NA,3976225,4017362,NA,10.7,1; 3; 4; 5,
United States,VSUS,1954,1,NA,43220,NA,414,NA,3,NA,NA,NA,NA,4087471,NA,NA,1; 2; 3; 4,
United States,VSUS,1955,2,3961776,43082,NA,392,NA,7,NA,43481,NA,4005257,4047295,NA,10.9,1; 3; 4,
United States,VSUS,1955,1,NA,44046,NA,408,NA,7,NA,NA,NA,NA,4116448,NA,NA,1; 2; 3; 4,
United States,VSUS,1956,2,4077170,43228,NA,399,NA,5,NA,43632,NA,4120802,4163090,NA,10.6,1; 3; 4,
United States,VSUS,1956,1,NA,44203,NA,410,NA,5,NA,NA,NA,NA,4231749,NA,NA,1; 2; 3; 4,
United States,VSUS,1957,2,4167626,43439,NA,353,NA,1,NA,43793,NA,4212368,4254784,NA,10.4,1; 3; 4; 5,
United States,VSUS,1957,1,NA,44401,NA,364,NA,2,NA,NA,NA,NA,4324345,NA,NA,1; 2; 3; 4,
United States,VSUS,1958,2,4117202,43360,NA,375,NA,6,NA,43741,NA,4161513,4203812,NA,10.5,1; 3; 4; 5,
United States,VSUS,1958,1,NA,44336,NA,386,NA,6,NA,NA,NA,NA,4273167,NA,NA,1; 2; 3; 4,
United States,VSUS,1959,0,4157142,NA,86426,NA,1192,NA,36,NA,NA,NA,4244796,NA,NA,1; 4,
United States,VSUS,1959,1,4221791,NA,90269,NA,1349,NA,NA,NA,NA,NA,4313409,NA,NA,1; 2; 4; 6,
United States,VSUS,1960,0,4171166,NA,85440,NA,1198,NA,46,NA,NA,NA,4257850,NA,NA,4,
United States,VSUS,1960,1,4235633,NA,89333,NA,1364,NA,NA,NA,NA,NA,4326330,NA,NA,2; 4; 6,
United States,VSUS,1961,0,4182226,NA,84926,NA,1174,NA,NA,NA,NA,NA,4268326,NA,NA,4; 6,
United States,VSUS,1961,1,4247012,NA,88797,NA,1284,NA,NA,NA,NA,NA,4337093,NA,NA,2; 4; 6,
United States,VSUS,1962,0,4086056,NA,80180,NA,1126,NA,NA,NA,NA,NA,4167362,NA,NA,4; 6,
United States,VSUS,1962,1,4147146,NA,83658,NA,1198,NA,NA,NA,NA,NA,4232002,NA,NA,2; 4; 6,
United States,VSUS,1963,0,4016862,NA,80044,NA,1114,NA,NA,NA,NA,NA,4098020,NA,NA,4; 6,
United States,VSUS,1963,1,4077952,NA,83522,NA,1186,NA,NA,NA,NA,NA,4162660,NA,NA,2; 4; 6,
United States,VSUS,1964,0,3947334,NA,78954,NA,1202,NA,NA,NA,NA,NA,4027490,NA,NA,4; 6,
United States,VSUS,1964,1,4009717,NA,82422,NA,1282,NA,NA,NA,NA,NA,4093421,NA,NA,2; 4; 6,
United States,VSUS,1965,0,3684752,NA,74594,NA,1012,NA,NA,NA,NA,NA,3760358,NA,NA,4; 6,
United States,VSUS,1965,1,3742221,NA,77864,NA,1132,NA,NA,NA,NA,NA,3821217,NA,NA,2; 4; 6,
United States,VSUS,1966,0,3534962,NA,70340,NA,972,NA,NA,NA,NA,NA,3606274,NA,NA,4; 6,
United States,VSUS,1966,1,3588321,NA,73522,NA,1068,NA,NA,NA,NA,NA,3662911,NA,NA,2; 4; 6,
United States,VSUS,1967,0,3451594,NA,68336,NA,1029,NA,NA,NA,NA,NA,3520959,NA,NA,4; 6,
United States,VSUS,1967,1,3503423,NA,71372,NA,1098,NA,NA,NA,NA,NA,3575893,NA,NA,2; 4; 6,
United States,VSUS,1968,0,3431156,NA,69300,NA,1108,NA,NA,NA,NA,NA,3501564,NA,NA,4; 6,
United States,VSUS,1968,1,3483405,NA,72269,NA,1183,NA,NA,NA,NA,NA,3556857,NA,NA,2; 4; 6,
United States,VSUS,1969,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600206,NA,NA,4; 6,
United States,VSUS,1970,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3731388,NA,NA,4; 6; 7,
United States,VSUS,1971,0,3491638,NA,63298,NA,1034,NA,NA,NA,NA,NA,3555970,NA,NA,4; 6; 7,
United States,VSUS,1971,1,3536707,NA,65973,NA,1108,NA,NA,NA,NA,NA,3603788,NA,NA,2; 4; 6; 7,
United States,VSUS,1972,0,3198382,NA,59122,NA,907,NA,NA,NA,NA,NA,3258411,NA,NA,4; 6; 7,
United States,VSUS,1972,1,3237106,NA,61717,NA,968,NA,NA,NA,NA,NA,3299791,NA,NA,2; 4; 6; 7,
United States,VSUS,1973,0,3079244,NA,56777,NA,944,NA,NA,NA,NA,NA,3136965,NA,NA,4; 6; 7,
United States,VSUS,1973,1,3115017,NA,59243,NA,1014,NA,NA,NA,NA,NA,3175274,NA,NA,2; 4; 6; 7,
United States,VSUS,1974,0,3101117,NA,57836,NA,1005,NA,NA,NA,NA,NA,3159958,NA,NA,4; 6; 7,
United States,VSUS,1974,1,3134904,NA,60260,NA,1075,NA,NA,NA,NA,NA,3196239,NA,NA,2; 4; 6; 7,
United States,VSUS,1975,0,3083940,NA,59192,NA,1066,NA,NA,NA,NA,NA,3144198,NA,NA,4; 6; 7,
United States,VSUS,1975,1,3115415,NA,61443,NA,1136,NA,NA,NA,NA,NA,3177994,NA,NA,2; 4; 6; 7,
United States,VSUS,1976,0,3106038,NA,60664,NA,1086,NA,NA,NA,NA,NA,3167788,NA,NA,4; 6; 7,
United States,VSUS,1976,1,3136739,NA,62975,NA,1185,NA,NA,NA,NA,NA,3200899,NA,NA,2; 4; 6; 7,
United States,VSUS,1977,0,3262676,NA,62880,NA,1076,NA,NA,NA,NA,NA,3326632,NA,NA,4; 6; 7,
United States,VSUS,1977,1,3293367,NA,65164,NA,1154,NA,NA,NA,NA,NA,3359685,NA,NA,2; 4; 6; 7,
United States,VSUS,1978,0,3267931,NA,64163,NA,1185,NA,NA,NA,NA,NA,3333279,NA,NA,4; 6; 7,
United States,VSUS,1978,1,3297962,NA,66347,NA,1271,NA,NA,NA,NA,NA,3365580,NA,NA,2; 4; 6; 7,
United States,VSUS,1979,0,3426338,NA,66858,NA,1202,NA,NA,NA,NA,NA,3494398,NA,NA,4; 6; 7,
United States,VSUS,1979,1,3456890,NA,69196,NA,1281,NA,NA,NA,NA,NA,3527367,NA,NA,2; 4; 6; 7,
United States,VSUS,1980,0,3542582,NA,68339,NA,1337,NA,NA,NA,NA,NA,3612258,NA,NA,4; 6; 7,
United States,VSUS,1980,1,3573588,NA,70625,NA,1398,NA,NA,NA,NA,NA,3645611,NA,NA,2; 4; 6; 7,
United States,VSUS,1981,0,3557804,NA,70049,NA,1385,NA,NA,NA,NA,NA,3629238,NA,NA,4; 6; 7,
United States,VSUS,1981,1,3588127,NA,72236,NA,1471,NA,NA,NA,NA,NA,3661834,NA,NA,2; 4; 6; 7,
United States,VSUS,1982,0,3607422,NA,71631,NA,1484,NA,NA,NA,NA,NA,3680537,NA,NA,4; 6; 7,
United States,VSUS,1982,1,3637661,NA,73985,NA,1585,NA,NA,NA,NA,NA,3713231,NA,NA,2; 4; 6; 7,
United States,VSUS,1983,0,3565071,NA,72287,NA,1575,NA,NA,NA,NA,NA,3638933,NA,NA,4; 6; 7,
United States,VSUS,1983,1,3593403,NA,74628,NA,1654,NA,NA,NA,NA,NA,3669685,NA,NA,2; 4; 6; 7,
United States,VSUS,1984,0,3594539,NA,72949,NA,1653,NA,NA,NA,NA,NA,3669141,NA,NA,4; 6; 7,
United States,VSUS,1984,1,3622458,NA,75045,NA,1737,NA,NA,NA,NA,NA,3699240,NA,NA,2; 4; 6; 7,
